file,plate,versuch,thickness,diameter,hole,start_time,end_time,axis,sign,usable,annotated
Bo16_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo16,1.3497244281735956,4.229124494804676,pos_x,1,True,True
Bo17_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo17,0.9041732170168615,3.829953378597037,pos_x,1,True,True
Bo18_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo18,0.8164962325157638,4.2501586512243685,pos_x,1,True,True
Bo19_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo19,0.9370205250605269,4.1725460596039765,pos_x,1,True,True
Bo1_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo1,,,pos_z,1,False,True
Bo20_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo20,2.1776038897698293,5.262076005429078,pos_x,1,True,True
Bo21_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo21,,,pos_z,1,False,True
Bo22_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo22,0.5360112547584635,3.4465523163580367,pos_x,1,True,True
Bo23_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo23,1.7557167563518459,5.602869089452187,pos_x,1,True,True
Bo24_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo24,1.1671075690383022,3.306877210770383,pos_x,1,True,True
Bo25_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo25,0.6427439095769519,3.7175117751348896,pos_x,1,True,True
Bo26_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo26,,,pos_z,1,False,True
Bo2_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo2,0.8203983891840039,3.8850262814305463,pos_z,1,True,True
Bo3_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo3,,,pos_z,1,False,True
Bo4_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo4,3.11395884124429,5.5909845038823915,pos_x,1,True,True
Bo5_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo5,1.067321677067242,4.4549728688456485,pos_z,1,False,True
Bo6_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo6,0.48052469818297083,3.35667404894615,pos_x,1,True,True
Bo7_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo7,1.2624530837416799,3.896212713453787,pos_x,1,True,True
Bo8_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo8,0.8328228109705405,3.4355668319642705,pos_x,1,True,True
Bo9_P8_Force_20251205_B3.3.csv,8,1,4,3.3,Bo9,0.9476164879317581,4.132112188695611,pos_x,1,True,True
